block,timestamp,amount0,amount1,sqrtPriceX96,liquidity,tick
25587741,1784716895,56651,-29385934224400,1804925380027312260800703684098501,14465725909197885359,200683
25587754,1784717051,175819938080,-91177950419363145985,1804422170909246316956093030704972,14077844945533287777,200678
25587755,1784717063,179590811815,-93080338750715649174,1803898327648153692625360599696712,14077844945533287777,200672
25587757,1784717087,24044306237,-12457850467566760981,1803828216590300626185494905047658,14077844945533287777,200671
25587757,1784717087,-221945315,115105089150102479,1803828864061910259204761735588211,14077844945533287777,200671
25587759,1784717111,26556387070,-13758295800900375494,1803751434277745822009754165949903,14077844945533287777,200670
25587759,1784717111,-237177589,122994369205031637,1803752126126931578961061684417779,14077844945533287777,200670
25587762,1784717147,23580919900,-12215789331503024989,1803683383705923313594702387774347,14079145427245992414,200670
25587763,1784717159,29373235614,-15215121116209631774,1803597771377716284988890448937801,14080948067942730923,200669
25587764,1784717171,29551734878,-15306124965491762795,1803511649608757385926559831132986,14080948067942730923,200668
25587765,1784717183,122388160045,-63374575766450607645,1803155066505963599819170527517875,14081012669298038973,200664
25587766,1784717195,-4000820621,2073361564251631003,1803162441761159524977754201886082,22261804952944433341,200664
25587766,1784717195,1847107879,-956278301586447714,1803157061169971495549672938827520,14081012669298038973,200664
25587766,1784717195,10245111288,-5303959963959003039,1803127217932708458252716059263221,14081012669298038973,200664
25587767,1784717207,78692043050,-40733524023846817381,1802898026869754822727398785825625,14081012669298038973,200661
25587768,1784717219,-39952314455,20700000000000000000,1803014439161332212952418969326702,14081012669298038973,200662
25587768,1784717219,8073036533,-4178816440334185297,1802990926651555557712679390271917,14081012669298038973,200662
25587769,1784717231,5783033247,-2993383396788818269,1802974084094006739888744883924557,14081012669298038973,200662
25587770,1784717243,-535068628,277234240000000000,1802975643198991383182475168927338,14081012669298038973,200662
25587774,1784717291,-83387297559,43211185809984806912,1803218653496668520300638032857303,14081012669298038973,200665
25587776,1784717315,-6658679506,3451021007288800000,1803238061287187370672743765251418,14081012669298038973,200665
25587781,1784717375,15546450000,-8049151260674571135,1803192771968928813070803549634270,14081012669298038973,200664
25587782,1784717387,20660750035,-10696446775762930448,1803132587389639064340539526084015,14081012669298038973,200664
25587785,1784717423,205117014083,-106154096713614850171,1802535315694802988623256162761532,14081913422484751717,200657
25587785,1784717423,-44399769333,22995214611374276608,1802664627501469308769716324749789,14081913422484751717,200658
25587787,1784717447,160473518,-83034154012282771,1802664160331756575314147615900145,14081913422484751717,200658
25587790,1784717483,4995000,-2584572537040100,1802664145790342574887369897744781,14081913422484751717,200658
25587793,1784717519,3797130,-1964756283532163,1802664134736160841028836330408879,14081913422484751717,200658
25587799,1784717591,-1594527562,825887361237842674,1802668779049709961788604055342910,14081913422484751717,200658
25587800,1784717603,-336436244,174258078721919809,1802669758976506321729179507018053,14081913422484751717,200658
25587800,1784717603,-3749134541,1941887369747489156,1802680679029585554508290115229325,14081913422484751717,200659
25587800,1784717603,-1449679103,750876544066595872,1802684901525619515697213273005820,14081913422484751717,200659
25587800,1784717603,-740472771,383537020001757967,1802687058316317842641952425771167,14081913422484751717,200659
25587802,1784717627,-467970270,242391456399842161,1802688421385881543962152820437424,14081913422484751717,200659
25587807,1784717687,-10135678310,5250000000000000000,1802717944353876040450334229913156,14081913422484751717,200659
25587807,1784717687,-36357807758,18833750000000000000,1802823858476563199802179641081526,14081012669298038973,200660
25587810,1784717723,-1581102211,819078796375636702,1802828464797320134027080933346876,14081012669298038973,200660
25587811,1784717735,-69557636858,36037983793385725952,1803031134569166360238506266257180,14081012669298038973,200662
25587812,1784717747,-200613366,103950000000000000,1803031719161326238002462345874326,14081012669298038973,200662
25587812,1784717747,-2649000568,1372614804880000000,1803039438448035857961454408602364,14081012669298038973,200663
25587812,1784717747,-17087978,8854401146725981,1803039488243259434572240246915696,14081012669298038973,200663
25587812,1784717747,-5646890,2926023784196789,1803039504698575388545293327349308,14081016541955475176,200663
25587813,1784717759,-30199488404,15649097701029195776,1803127511771448619135423347161519,14081019749581431325,200664
25587813,1784717759,80977,-41921368264222,1803127511535574155728263914986398,14081019749581431325,200664
25587814,1784717771,-21897774933,11348181479920736256,1803191331204513684878677528772627,14081019749581431325,200664
25587816,1784717795,-6357227041,3294684558001662367,1803209859783574910260479663276032,14081019749581431325,200664
25587816,1784717795,-37190,19274716067779,1803209859891971660922742051221585,14081019749581431325,200664
25587817,1784717807,-1981111896,1026741171958119347,1803215634057796986535141438846558,14081019749581431325,200665
25587819,1784717831,-945949985,490255191251290034,1803218391144829556745222724188292,14081019749581431325,200665
25587822,1784717867,-14087140511,7301085354426576896,1803259450838053814517053307620179,14081019749581431325,200665
25587823,1784717891,-8435697,4372154206687688,1803259475426084462166414354100131,14081019749581431325,200665
25587824,1784717903,-35125290216,18206189520948815872,1803361863019192057928170232049279,14081019749581431325,200666
25587825,1784717915,-1132088336,586820000000000000,1803365163165404326299295464337945,14081019749581431325,200666
25587825,1784717915,-3472519406,1800000000000000000,1803375285968277580564701241440974,14081019749581431325,200666
25587825,1784717915,-94879665,49181692856034663,1803375562555267444218289199414497,14081019749581431325,200666
25587825,1784717915,491250,-254388938356449,1803375561123924508239872327523455,14081019749581431325,200666
25587833,1784718011,-13988438487,7251192786372579000,1803416340232353626542883855612210,14081019749581431325,200667
25587833,1784718011,-9998598,5183095133140602,1803416369380937129935038381378860,14081019749581431325,200667
25587834,1784718023,-42159887261,21856423087947317248,1803539285082289204361145149014094,14081019749581431325,200668
25587835,1784718035,-7490909490,3883730238302901248,1803561126324297669406499955958437,14081019749581431325,200668
25587835,1784718035,-1060821171,550000000000000000,1803564219402953385987596165628807,14081019749581431325,200668
25587843,1784718131,-54697592020,28361389534565736448,1803719746956532982699107413031871,15067107704576554831,200670
25587844,1784718143,9985000,-5172610674488651,1803719719757123037754878314451663,15067107704576554831,200670
25587848,1784718191,-840568319,435882778124708789,1803722010636378925591997747787080,15067107704576554831,200670
